englishWord,kannadaMeaning,pronunciation,kannadaDefinition,simpleExplanation,exampleUsage,kannadaExample,subject
"Photosynthesis","ದ್ಯುತಿಸಂಶ್ಲೇಷಣೆ","Photosynthesis","ಸಸ್ಯಗಳು ಸೂರ್ಯನ ಬೆಳಕನ್ನು ಬಳಸಿ ಆಹಾರ ತಯಾರಿಸುವ ಪ್ರಕ್ರಿಯೆ.","Plants make food using sunlight.","Plants need light for photosynthesis.","ಸಸ್ಯಗಳಿಗೆ ದ್ಯುತಿಸಂಶ್ಲೇಷಣೆಗಾಗಿ ಬೆಳಕು ಬೇಕು.","Science"
"Gravity","ಗುರುತ್ವಾಕರ್ಷಣೆ","Gravity","ಭೂಮಿಯು ವಸ್ತುಗಳನ್ನು ತನ್ನತ್ತ ಎಳೆಯುವ ಬಲ.","Force pulling objects to Earth.","Apples fall due to gravity.","ಸೇಬುಗಳು ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಂದಾಗಿ ಕೆಳಗೆ ಬೀಳುತ್ತವೆ.","Science"
"Evaporation","ಬಾಷ್ಪೀಕರಣ","Evaporation","ದ್ರವವು ಶಾಖದಿಂದ ಅನಿಲವಾಗಿ ಬದಲಾಗುವ ಪ್ರಕ್ರಿಯೆ.","Liquid turning to gas.","Sunlight causes evaporation.","ಸೂರ್ಯನ ಬೆಳಕು ನೀರಿನ ಬಾಷ್ಪೀಕರಣಕ್ಕೆ ಕಾರಣವಾಗುತ್ತದೆ.","Science"
"Cell","ಜೀವಕೋಶ","Cell","ಜೀವಿಗಳ ರಚನೆ ಮತ್ತು ಕಾರ್ಯದ ಮೂಲ ಘಟಕ.","Basic unit of life.","Every living thing is made of cells.","ಪ್ರತಿಯೊಂದು ಜೀವಿಯೂ ಜೀವಕೋಶಗಳಿಂದ ಮಾಡಲ್ಪಟ್ಟಿದೆ.","Science"
"Nucleus","ಕೋಶಕೇಂದ್ರ","Nucleus","ಜೀವಕೋಶದ ಚಟುವಟಿಕೆಗಳನ್ನು ನಿಯಂತ್ರಿಸುವ ಕೇಂದ್ರ.","Cell control center.","DNA is found in the nucleus.","ಡಿಎನ್‌ಎ ಕೋಶಕೇಂದ್ರದಲ್ಲಿ ಕಂಡುಬರುತ್ತದೆ.","Science"
"Mitochondria","ಮೈಟೋಕಾಂಡ್ರಿಯ","Mitochondria","ಜೀವಕೋಶಕ್ಕೆ ಬೇಕಾದ ಶಕ್ತಿಯನ್ನು ಉತ್ಪಾದಿಸುವ ಭಾಗ.","Powerhouse of the cell.","Mitochondria produce energy.","ಮೈಟೋಕಾಂಡ್ರಿಯಗಳು ಶಕ್ತಿಯನ್ನು ಉತ್ಪಾದಿಸುತ್ತವೆ.","Science"
"Chloroplast","ಹರಿತ್ತಿನ ಕಣ","Chloroplast","ಸಸ್ಯಗಳಲ್ಲಿ ದ್ಯುತಿಸಂಶ್ಲೇಷಣೆ ನಡೆಯುವ ಸ್ಥಳ.","Where photosynthesis occurs.","Chloroplasts make leaves green.","ಹರಿತ್ತಿನ ಕಣಗಳು ಎಲೆಗಳನ್ನು ಹಸಿರಾಗಿಸುತ್ತವೆ.","Science"
"Respiration","ಉಸಿರಾಟ","Respiration","ಆಹಾರದಿಂದ ಶಕ್ತಿಯನ್ನು ಬಿಡುಗಡೆ ಮಾಡುವ ಪ್ರಕ್ರಿಯೆ.","Releasing energy from food.","Oxygen is essential for respiration.","ಉಸಿರಾಟಕ್ಕೆ ಆಮ್ಲಜನಕ ಅತ್ಯಗತ್ಯ.","Science"
"Tissue","ಅಂಗಾಂಶ","Tissue","ಒಂದೇ ರೀತಿಯ ಕೆಲಸ ಮಾಡುವ ಜೀವಕೋಶಗಳ ಗುಂಪು.","Group of similar cells.","Muscle is a type of tissue.","ಸ್ನಾಯು ಒಂದು ರೀತಿಯ ಅಂಗಾಂಶವಾಗಿದೆ.","Science"
"Heredity","ಅನುವಂಶೀಯತೆ","Heredity","ಪೋಷಕರಿಂದ ಗುಣಲಕ್ಷಣಗಳು ಸಂತತಿಗೆ ವರ್ಗಾವಣೆಯಾಗುವುದು.","Passing traits to offspring.","Eye color is determined by heredity.","ಕಣ್ಣಿನ ಬಣ್ಣವು ಅನುವಂಶೀಯತೆಯಿಂದ ನಿರ್ಧರಿಸಲ್ಪಡುತ್ತದೆ.","Science"
"Ecosystem","ಪರಿಸರ ವ್ಯವಸ್ಥೆ","Ecosystem","Community of interacting organisms.","A pond is a small ecosystem.","A healthy ecosystem is vital.","ಪರಿಸರ ವ್ಯವಸ್ಥೆಯು ಜೀವವೈವಿಧ್ಯಕ್ಕೆ ಮುಖ್ಯವಾಗಿದೆ.","Science"
"Biodiversity","ಜೀವವೈವಿಧ್ಯತೆ","Biodiversity","Variety of life in a habitat.","Rainforests have high biodiversity.","Biodiversity is decreasing.","ಜೀವವೈವಿಧ್ಯತೆಯು ಪರಿಸರದ ಸಮತೋಲನಕ್ಕೆ ಅಗತ್ಯ.","Science"
"Metabolism","ಚಯಾಪಚಯ","Metabolism","Chemical processes in the body.","Exercise boosts metabolism.","High metabolism burns fat.","ಚಯಾಪಚಯವು ದೇಹದ ಶಕ್ತಿಗೆ ಕಾರಣವಾಗಿದೆ.","Science"
"Enzyme","ಕಿಣ್ವ","Enzyme","Biological catalyst.","Saliva contains enzymes.","Enzymes aid digestion.","ಕಿಣ್ವಗಳು ಜೀರ್ಣಕ್ರಿಯೆಯಲ್ಲಿ ಸಹಾಯ ಮಾಡುತ್ತವೆ.","Science"
"Hormone","ಹಾರ್ಮೋನ್","Hormone","Chemical messenger.","Insulin is a vital hormone.","Hormones regulate growth.","ಹಾರ್ಮೋನುಗಳು ದೇಹದ ಬೆಳವಣಿಗೆಯನ್ನು ನಿಯಂತ್ರಿಸುತ್ತವೆ.","Science"
"Vitamin","ಜೀವಸತ್ವ","Vitamin","Essential nutrients.","Oranges have Vitamin C.","Vitamins keep us healthy.","ಜೀವಸತ್ವಗಳು ರೋಗನಿರೋಧಕ ಶಕ್ತಿಯನ್ನು ಹೆಚ್ಚಿಸುತ್ತವೆ.","Science"
"Protein","ಪ್ರೋಟೀನ್","Protein","Building blocks of tissues.","Pulses are rich in protein.","Protein helps muscle repair.","ಪ್ರೋಟೀನ್ ಸ್ನಾಯುಗಳ ಬೆಳವಣಿಗೆಗೆ ಮುಖ್ಯವಾಗಿದೆ.","Science"
"Carbohydrate","ಕಾರ್ಬೋಹೈಡ್ರೇಟ್","Carbohydrate","Main source of energy.","Rice has carbohydrates.","Carbs provide quick energy.","ಕಾರ್ಬೋಹೈಡ್ರೇಟ್ ದೇಹಕ್ಕೆ ತ್ವರಿತ ಶಕ್ತಿಯನ್ನು ನೀಡುತ್ತದೆ.","Science"
"DNA","ಡಿಎನ್‌ಎ","DNA","Genetic instructions.","DNA is unique to everyone.","DNA testing for identity.","ಡಿಎನ್‌ಎ ವಂಶವಾಹಿ ಮಾಹಿತಿಯನ್ನು ಹೊಂದಿರುತ್ತದೆ.","Science"
"Gene","ಜೀನ್","Gene","Unit of heredity.","Genes influence eye color.","Gene therapy is emerging.","ಜೀನ್‌ಗಳು ತಂದೆ-ತಾಯಿಯಿಂದ ಗುಣಗಳನ್ನು ತರುತ್ತವೆ.","Science"
"Pathogen","ರೋಗಕಾರಕ","Pathogen","ರೋಗ ಉಂಟುಮಾಡುವ ಯಾವುದೇ ಸೂಕ್ಷ್ಮಜೀವಿ.","Disease-causing agent.","A virus is a pathogen.","ವೈರಸ್ ಒಂದು ರೋಗಕಾರಕವಾಗಿದೆ.","Science"
"Vaccine","ಲಸಿಕೆ","Vaccine","ರೋಗಗಳ ವಿರುದ್ಧ ರೋಗನಿರೋಧಕ ಶಕ್ತಿ ನೀಡುವ ಮದ್ದು.","Provides immunity.","Take the flu vaccine.","ಫ್ಲೂ ಲಸಿಕೆ ತೆಗೆದುಕೊಳ್ಳಿ.","Science"
"Immunity","ರೋಗನಿರೋಧಕ ಶಕ್ತಿ","Immunity","ದೇಹದ ರಕ್ಷಣಾ ವ್ಯವಸ್ಥೆ.","Body's defense mechanism.","Strong immunity helps.","ಬಲವಾದ ರೋಗನಿರೋಧಕ ಶಕ್ತಿ ಸಹಾಯ ಮಾಡುತ್ತದೆ.","Science"
"Antibody","ಪ್ರತಿರೋಧಕ","Antibody","ರೋಗಕಾರಕಗಳ ವಿರುದ್ಧ ಹೋರಾಡುವ ದೇಹದ ಪ್ರೋಟೀನ್.","Fights against pathogens.","Antibodies neutralize viruses.","ಪ್ರತಿರೋಧಕಗಳು ವೈರಸ್‌ಗಳನ್ನು ತಟಸ್ಥಗೊಳಿಸುತ್ತವೆ.","Science"
