englishWord,kannadaMeaning,pronunciation,kannadaDefinition,simpleExplanation,exampleUsage,subject
"Photosynthesis","ದ್ಯುತಿಸಂಶ್ಲೇಷಣೆ","Photosynthesis","ಸಸ್ಯಗಳು ಆಹಾರ ತಯಾರಿಸುವ ಪ್ರಕ್ರಿಯೆ.","Plants use sunlight to make food.","Plants need light for photosynthesis.","Science"
"Gravity","ಗುರುತ್ವಾಕರ್ಷಣೆ","Gravity","ವಸ್ತುಗಳನ್ನು ಭೂಮಿಯ ಕಡೆಗೆ ಎಳೆಯುವ ಶಕ್ತಿ.","Earth's pull on objects.","Apples fall due to gravity.","Science"
"Evaporation","ಬಾಷ್ಪೀಕರಣ","Evaporation","ನೀರು ಹಬೆಯಾಗಿ ಬದಲಾಗುವ ಕ್ರಿಯೆ.","Liquid turning into gas.","Sun causes evaporation.","Science"
"Cell","ಜೀವಕೋಶ","Cell","ಜೀವಿಯ ಅತಿ ಚಿಕ್ಕ ರಚನಾತ್ಮಕ ಘಟಕ.","Basic unit of life.","Living things have cells.","Science"
"Nucleus","ಕೋಶಕೇಂದ್ರ","Nucleus","ಜೀವಕೋಶದ ನಿಯಂತ್ರಣ ಕೇಂದ್ರ.","Cell's control center.","DNA is in the nucleus.","Science"
"Mitochondria","ಮೈಟೋಕಾಂಡ್ರಿಯ","Mitochondria","ಜೀವಕೋಶಕ್ಕೆ ಬೇಕಾದ ಶಕ್ತಿಯನ್ನು ತಯಾರಿಸುವ ಭಾಗ.","Powerhouse of the cell.","Cells need mitochondria.","Science"
"Chloroplast","ಹರಿತ್ತಿನ ಕಣ","Chloroplast","ಸಸ್ಯಗಳಲ್ಲಿ ಆಹಾರ ತಯಾರಿಸಲು ಸಹಾಯ ಮಾಡುವ ಹಸಿರು ಭಾಗ.","Where photosynthesis happens.","Leaves have chloroplasts.","Science"
"Respiration","ಉಸಿರಾಟ","Respiration","ಜೀವಿಯು ಆಮ್ಲಜನಕ ಪಡೆದು ಶಕ್ತಿ ಬಿಡುಗಡೆ ಮಾಡುವ ಕ್ರಿಯೆ.","Process of breathing.","Cells use respiration.","Science"
"Tissue","ಅಂಗಾಂಶ","Tissue","ಒಂದೇ ರೀತಿಯ ಕೆಲಸ ಮಾಡುವ ಜೀವಕೋಶಗಳ ಗುಂಪು.","Group of cells.","Muscle is a tissue.","Science"
"Heredity","ಅನುವಂಶೀಯತೆ","Heredity","ಪೋಷಕರಿಂದ ಮಕ್ಕಳಿಗೆ ಗುಣಲಕ್ಷಣಗಳು ವರ್ಗಾವಣೆಯಾಗುವುದು.","Passing of traits.","Heredity defines features.","Science"
